Food Database Name, Transcript Food Name, edit distance, word relative length, food word relative edit distance
leeks,week,1.0,0.8,0.2
mince,mine,1.0,0.8,0.2
goose,good,1.0,0.8,0.2
round,pounds,1.0,1.2,0.2
smelt,meat,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
honey,money,1.0,1.0,0.2
dates,taste,1.0,1.0,0.2
round,sound,1.0,1.0,0.2
laver,layers,1.0,1.2,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
pears,year,1.0,0.8,0.2
limes,times,1.0,1.0,0.2
horse,home,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
leeks,week,1.0,0.8,0.2
snack,back,1.0,0.8,0.2
goose,good,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
pears,year,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,house,1.0,1.0,0.2
mince,mine,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
cress,sure,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
table,table>,1.0,1.2,0.2
moose,smoke,1.0,1.0,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
shake,cake,1.0,0.8,0.2
dates,rates,1.0,1.0,0.2
shake,cake,1.0,0.8,0.2
dates,rate,1.0,0.8,0.2
dates,rate,1.0,0.8,0.2
dates,rate,1.0,0.8,0.2
dates,rate,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
shake,cake,1.0,0.8,0.2
shake,cake,1.0,0.8,0.2
beets,sweets,1.0,1.2,0.2
beets,sweets,1.0,1.2,0.2
horse,share,1.0,1.0,0.2
shake,share,1.0,1.0,0.2
shark,share,1.0,1.0,0.2
leeks,week,1.0,0.8,0.2
leeks,week,1.0,0.8,0.2
leeks,week,1.0,0.8,0.2
shake,wake,1.0,0.8,0.2
salsa,class,1.0,1.0,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
leeks,week,1.0,0.8,0.2
salsa,atlas,1.0,1.0,0.2
leeks,week,1.0,0.8,0.2
pears,year,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
goose,good,1.0,0.8,0.2
tomatoseed,tomatoes,2.0,0.8,0.2
tomatoseed,tomatoes,2.0,0.8,0.2
tomatoseed,tomatoes,2.0,0.8,0.2
salsa,salad,1.0,1.0,0.2
salsa,salads,1.0,1.2,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
peach,beach,1.0,1.0,0.2
leeks,week,1.0,0.8,0.2
leeks,week,1.0,0.8,0.2
whole beef,whole week,2.0,1.0,0.2
peach,beach,1.0,1.0,0.2
pears,year,1.0,0.8,0.2
mince,mine,1.0,0.8,0.2
salsa,salad,1.0,1.0,0.2
salsa,salad,1.0,1.0,0.2
beets,beers,1.0,1.0,0.2
beets,beers,1.0,1.0,0.2
basil,ball,1.0,0.8,0.2
bread,break,1.0,1.0,0.2
limes,time,1.0,0.8,0.2
smelt,meat,1.0,0.8,0.2
schar,cars,1.0,0.8,0.2
schar,cars,1.0,0.8,0.2
swiss,swim,1.0,0.8,0.2
swiss,swim,1.0,0.8,0.2
water,faster,1.0,1.2,0.2
seeds,feed,1.0,0.8,0.2
round,ground,1.0,1.2,0.2
smelt,meat,1.0,0.8,0.2
pears,year,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
salsa,glass,1.0,1.0,0.2
salsa,glass,1.0,1.0,0.2
salsa,salt,1.0,0.8,0.2
shark,park,1.0,0.8,0.2
whale,while,1.0,1.0,0.2
limes,slide,1.0,1.0,0.2
smelt,meat,1.0,0.8,0.2
smelt,meat,1.0,0.8,0.2
smelt,belt,1.0,0.8,0.2
